census_track_number,population_16_and_over_with_earnings,population_margin_of_error,total_median_earnings,median_earnings_margin_of_error,total_full_time_year_round_workers,full-time-margin-of-error,total_workers_less_than_10k,less_than_10k_margin_of_error,total_workers_less_than_15k,less_than_15k_margin_of_error,total_workers_less_than_25k,less_than_25k_margin_of_error,total_workers_less_than_35k,less_than_35k_margin_of_error,total_workers_less_than_50k,less_than_50k_margin_of_error,total_workers_less_than_65k,less_than_65k_margin_of_error,total_workers_less_than_75k,less_than_75k_margin_of_error,total_workers_less_than_100k,less_than_100k_margin_of_error,total_workers_more_than_100k,more_than_100k_margin_of_error,total_mean_earnings,mean_earnings_margin_of_error
1073.05,513,108,21045,3299,273,74,0,7.1,9.5,8.3,29.7,15.2,23.8,21.5,11.4,8.4,17.2,14.9,0,7.1,1.5,2.9,7,8,45390,17507
1073.06,1221,230,20281,5591,727,175,3.9,3,6.6,4.6,31.4,11.8,18.2,10.1,31.1,11.4,2.3,2.9,4.3,4,1.2,1.9,1.1,1.9,41518,18583
1074.01,2672,495,22185,4330,1719,379,1.3,2,8.2,5.8,23.3,9.5,26.2,7.4,23.6,7.8,12.4,7.8,0.8,1.7,4,3.5,0.2,1,33866,4041
1074.03,3319,479,34588,5173,2371,401,4.2,4.4,2.4,2.1,12.2,5.4,22.4,7.6,24,9.4,15.1,6.7,4.4,4.3,7.8,4.2,7.6,6.7,48318,6653
1074.04,1589,215,25111,8951,827,190,1,1.6,1.8,3.3,11.9,9.1,33.1,15.6,11.1,7.9,28.9,15.8,4.1,3.4,7,6.1,1.1,1.7,43867,6875
1074.05,2748,277,34533,5505,2009,255,1.9,2,2.9,2.4,12.7,6,19.2,6.8,22.9,6.5,18.2,5.7,5.2,5.1,9.8,4.7,7.2,3.6,51085,5149
1075,1967,321,23750,1636,1708,300,1.1,1.2,2.6,2,46.8,8.9,21.8,6.2,16.7,8.4,5.5,3,2.6,2.6,1.3,1.9,1.6,1.7,31530,4007
1076.01,1269,158,21015,3763,759,175,0,2.6,4.3,4.2,39.5,12.2,31.4,9.4,16.7,7.4,5.3,4.2,0,2.6,2.8,3.2,0,2.6,29702,3340
1076.04,1037,124,30115,4083,801,97,1.5,1.1,4.5,3,17,6.2,31.2,8.2,27.6,7.2,11.1,4.7,2.6,2.9,4.5,2.6,0,2.5,35936,2570
1076.05,1150,145,24636,2285,825,116,1.7,1.8,1.6,1.5,30.2,8.6,21,8.5,24.1,7.5,15.2,6.8,4.2,2.9,0,2.4,2.1,2.4,36632,3746
