census_track_number,population_16_and_over_with_earnings,population_margin_of_error,total_median_earnings,median_earnings_margin_of_error,total_full_time_year_round_workers,full-time-margin-of-error,total_workers_less_than_10k,less_than_10k_margin_of_error,total_workers_less_than_15k,less_than_15k_margin_of_error,total_workers_less_than_25k,less_than_25k_margin_of_error,total_workers_less_than_35k,less_than_35k_margin_of_error,total_workers_less_than_50k,less_than_50k_margin_of_error,total_workers_less_than_65k,less_than_65k_margin_of_error,total_workers_less_than_75k,less_than_75k_margin_of_error,total_workers_less_than_100k,less_than_100k_margin_of_error,total_workers_more_than_100k,more_than_100k_margin_of_error,total_mean_earnings,mean_earnings_margin_of_error
1087.06,1405,152,34214,3351,895,134,0,2.2,4.5,3.2,14.1,5.6,15.8,6.2,19.6,6.6,23.4,6.3,7,4.2,11.7,4.4,4,2.9,49255,3985
1087.07,1935,147,41721,5264,1452,137,1.9,1.7,2.7,2.6,7.6,3.2,16.7,4.6,17.4,5.2,20.6,6,13.5,4.2,15.1,4.4,4.7,2.3,55134,3700
1087.08,1383,139,40199,13183,979,154,0,2,1.9,1.7,11.6,7.1,13.2,5.8,13.4,4.9,30.8,7.8,10.3,5.2,8.9,4.5,9.8,4.6,57756,6607
1087.09,1689,151,45142,8067,1309,134,1.8,2.3,3.6,3,7.3,3.6,15.9,5.2,19,6.9,20.6,6.4,6,3.8,10.4,4.9,15.5,6,61265,6831
1088.01,3320,283,35282,4853,2318,270,0.4,0.5,3.6,2.5,11.4,4.1,17.2,4.8,28.9,6.2,12.7,4.1,10.1,3.5,7.7,3.6,8,3.7,50385,3781
1088.02,2403,226,36736,1991,1689,180,0.9,1.1,3.7,2.3,14.7,4.8,11.2,3.8,26.9,5.5,20.4,4.7,11.1,4.2,4.5,2.5,6.5,2.9,48712,3000
1088.03,554,79,20255,6892,344,69,5.2,5.1,9.3,5.3,20.9,7.2,21.8,9,21.5,10.2,16.9,8.3,1.7,2.5,0,5.6,2.6,3.6,35133,5047
1088.04,1476,162,30721,4459,1084,127,1.8,2.2,5.1,3.4,18.6,6.6,18.7,5.3,20.6,5.8,15,5.1,5.4,3.5,11.3,3.7,3.3,2.1,49533,7655
1089,1958,224,26625,1718,1360,176,2.8,2.4,4.6,3.4,25,5.9,20.1,6.8,22.5,5.5,11,4.2,4.6,2.5,5,2.7,4.5,2.5,43973,6625
1090.01,1099,141,31901,4757,817,132,1.7,1.8,6.4,4.3,13.3,6,21.7,8.7,20,8.8,17,6.8,6.5,4.3,6.6,3.4,6.9,4,46008,4412
1090.03,2227,177,36776,4381,1595,197,2.4,1.9,2.9,1.9,13.7,4.6,13.2,5.1,22.4,6.2,23,6.3,5.8,2.9,7.6,3.5,9,5,51260,4725
1090.04,1798,268,35386,4556,1206,276,1.2,1.5,3.9,4.9,9.9,7.8,14.8,5.8,21.8,9.5,25.9,7.1,2.8,2.7,9.3,4.5,10.4,5.5,70038,29691
1091,45,28,(X),(X),33,25,0,40.5,0,40.5,36.4,44.9,36.4,36.7,0,40.5,12.1,19.8,0,40.5,15.2,23.1,0,40.5,N,N
1092.01,2779,286,55195,11203,1931,249,1.6,1.4,3.2,2.7,4.5,3.1,3.2,2.5,19.6,6.9,10.3,4,9.8,4.6,11.6,4.2,36.4,8.1,143360,30751
1092.02,1105,121,42775,3683,835,105,1.8,1.2,2,2.1,8.6,4.3,12.1,4.6,26.3,6.2,11.9,5.2,7.3,4.9,19.4,6.6,10.5,6.2,103369,57432
1,1181,157,18264,3606,544,114,5.3,4.5,3.1,4,29.8,10.7,19.3,8.7,16,7.3,12.7,7.7,0,3.6,9,6.6,4.8,4.3,40416,7964
2,1318,154,17537,3505,647,144,4.6,4.1,14.7,8.7,24.1,8.5,22.9,13.7,19.3,8.9,6.8,5.1,0,3,5.7,4.7,1.9,2.9,32075,5009
3,1076,155,20978,5372,663,128,3.5,3.5,9.5,5.9,21.4,7.7,34.7,9.1,15.4,7.1,10.3,5.8,1.4,2.8,2.7,3,1.2,1.6,32574,3281
4,2085,240,30878,4178,1404,228,2.6,3.1,7.1,4.9,9.8,5.8,25,9.2,28.5,8.2,8.3,3.8,3.3,2.6,8.1,4.4,7.3,4,47349,7666
5,1916,149,34529,3308,1317,141,2.1,1.8,2.5,2.1,12.2,3.8,18.9,4.7,22.8,5.3,12.5,4.9,9.2,3.2,10.2,4.3,9.6,4.4,58577,8815
6,3414,236,31513,1700,2377,160,1.6,1.1,4.9,2.2,15.2,4,20.4,3.3,20,4.4,16.6,3.3,6.3,2.2,11.1,3.1,3.8,1.9,45824,2653
7,2066,161,27389,2389,1370,141,2.3,1.7,9,4.2,17.7,4.5,19.9,3.6,22.8,4.8,14.5,3.5,3.5,1.7,6.8,3.1,3.5,2,40699,3017
8,1442,116,25933,2163,919,95,5.2,2.7,3.9,2.1,23.4,3.9,22.1,4.7,22.2,5.2,12.4,3.1,4.1,1.9,4.1,1.7,2.5,1.8,37453,2541
9.01,1358,151,30610,4969,709,113,1.8,1.8,3,3,10.3,5.5,11,5.9,32.7,9.6,16.8,5.7,5.2,3.3,13,6.5,6.2,3.9,51285,5389
9.02,1912,216,20070,2695,963,161,2.9,2.9,14.5,6.6,23.1,6.5,15.8,5.3,25.6,7.9,8.8,4.5,3.6,3.2,2.6,2.6,3,3,36219,5484
9400.01,1834,150,31620,2827,1276,138,0.7,0.7,8.2,3.1,15.8,3.9,16.1,3.4,28.1,4.9,12.1,3.4,7.4,2.4,5.9,2.4,5.6,2.4,44601,2892
9400.02,2250,221,23880,5127,1544,200,3.4,3.1,16.6,6,12.8,6,14.1,4.8,23.8,6.9,10.8,4.8,4.3,3.4,9.5,5.8,4.7,4.1,40886,4994
9400.03,2114,148,30938,1162,1520,112,2.1,1.2,3.6,1.5,19,3.3,18.9,2.9,19.7,3.1,13.8,2.9,5.5,1.8,7.6,2.4,9.9,2.7,49110,3112
9400.04,1171,116,33657,5782,838,104,1.7,1.4,3.5,1.8,15.4,4.7,16.6,4.2,20.9,6.6,15.2,4,5.7,2.5,10.3,4.2,10.9,4,53784,4655
9400.05,1811,198,33425,4262,1203,149,0,1.6,5.2,3.1,12.7,4.4,17.4,4.9,22.6,6.4,16.5,4.6,5.9,2.9,11.6,4.7,8.1,3.6,63585,14884
9400.06,2562,219,25538,2095,1685,194,2,2.5,5,3.5,17.9,7.6,25.8,6,21.5,7.4,14.9,4.3,5.8,3.7,3.6,2.8,3.6,2.9,40064,3638
9400.07,2509,176,33168,3260,1780,146,1.4,0.9,3.7,2,13.7,3.3,19.6,3.5,24,4.6,15.9,3.4,7.4,2,7.9,2.4,6.5,2.3,49820,4121
9400.08,1327,103,33177,1934,985,86,1.7,1.2,5.8,2.4,13.9,3.9,20.6,5,22,4.4,18.5,4.1,4.5,1.8,4.3,2.7,8.7,3.6,50795,5410
9400.09,1794,209,37325,4670,1452,155,2.1,2.2,2.3,2,20.4,6.4,13.2,4.9,16.7,5.5,17.3,4.7,9.2,4,8.2,3.8,10.7,4.8,55747,6951
9400.1,3543,300,31926,3572,2617,274,4.4,2.5,2.1,1.9,16.3,4.9,17.9,4.7,23.7,5.4,16.6,4.6,6.4,2.5,8.4,3.2,4.2,2.3,45017,3544
9400.11,548,60,31786,4402,397,44,2.5,1.9,5.3,2.9,15.1,5,14.1,3.8,27,5.6,15.9,4.5,4.5,2.2,11.3,4.3,4.3,2.8,45494,3367
5741,1798,115,26376,1154,1313,98,3.5,1.5,5.6,1.6,24.4,3.6,21.6,3.2,21.6,3.2,11,2,4,1.3,6,1.7,2.1,0.9,40750,3186
5742,1295,98,20420,904,862,71,3.2,1.7,13.8,3.4,31.1,4,24.8,4.1,17.5,3.9,4.4,1.8,1.7,1,1.7,0.9,1.6,1.2,29507,1885
5743,1244,87,23475,1910,886,78,3.7,1.7,6.4,2.6,28.7,3.8,20.7,3.9,24.5,3.5,10,3.3,1.6,1.2,2.5,1.5,1.9,1.2,34158,1905
5744,1216,78,19942,1294,831,63,3.2,1.7,9.3,3,32.5,5.2,23.9,4.1,17.6,3.8,6,2.2,3.4,1.7,2,1.3,2,1.3,32410,2915
5745,1126,95,17431,1707,712,69,5.2,2.9,18,3.7,29.9,5.6,19.4,4.5,15.7,4.1,5.3,1.8,2.9,1.7,2,1.5,1.5,1.3,29295,2494
5746,2153,120,20750,1542,1300,93,5.7,2.4,7.6,2.3,22.4,3.4,21.9,3.2,19,3.2,9.1,1.8,4.4,2.2,3.7,1.8,6.2,1.8,42390,3368
5747,2227,131,27221,2396,1592,128,3,1.7,5.3,2.4,23.7,4.5,20,4.5,22.7,4.2,12.6,2.9,5,2,4.8,1.7,3,1.6,39262,2292
5748,2000,149,21609,1570,1187,109,3.1,2.1,6.7,2.8,26.1,5.3,25.4,4.2,21.2,4.2,8.8,3.2,4,2,2.9,1.6,1.7,1,36306,2958
5749,1521,72,24321,2696,990,59,3.5,1.6,5.3,2,23.9,2.4,24.6,3.3,21.6,2.5,11,2.3,3.5,1.1,3.4,1.1,3,1.1,38705,2078
9571,1758,116,29783,3027,1234,97,2.2,1.4,7.9,3.2,16.5,4.3,16.4,3.5,24.2,4.2,16.3,4.2,6,1.9,5.5,2.1,5.1,1.8,47281,5906
9572,2132,149,34293,4616,1510,123,2.4,1.5,2.8,1.6,11.6,2.9,19.1,4,22.5,4.9,17.2,3.7,5.6,2,10.9,3.5,8,2.5,52269,3364
9573,1366,138,27381,3957,892,104,2.4,1.8,7.8,3,18,4.3,16.8,3.8,16.3,4.3,16.9,3.9,6.4,3.1,7.8,3.1,7.5,3.1,46528,4226
9574,1287,115,29830,3805,952,93,4.6,2,4.1,2.1,16.3,4,19,4.2,24.9,4.5,10.9,4.1,5,2.4,10.8,3.2,4.3,2.5,45515,4120
9575,1137,126,24208,3710,753,101,3.1,2.5,6.9,4.4,21.8,5.8,26.2,7,23.6,5.3,10.2,4,1.9,1.8,1.7,1.7,4.6,2.5,37047,3217
101.01,2427,280,31070,4017,1500,218,0,1.3,6.5,4.6,12,6.4,13.7,5.2,35.3,7.6,8.1,3.9,7.7,4,6.8,3.9,9.8,4.9,53013,7497
101.02,3119,426,11631,2060,1275,254,8.3,5.6,7.9,6.2,28,9.9,21,8.1,19.1,8.6,6.3,5,0.6,1.4,4,3.6,4.7,4.1,39594,11650
102,3539,554,21585,4735,1806,368,4.3,3.2,6,5.2,18,6.8,19.2,8.9,19.8,7.4,15.4,10.1,2.5,3,6.3,5.9,8.6,4.6,46183,6431
103,2045,249,4769,1093,329,94,6.7,6.5,10.6,10.8,13.1,9.1,9.7,8.2,25.8,10.9,11.6,7.5,8.2,6.8,6.7,7.3,7.6,6.6,43879,6495
104,2805,413,5243,1548,255,85,18.4,13.1,9.8,8.7,21.2,14.4,21.2,10.9,22,14.6,6.3,5.9,0,7.5,0,7.5,1.2,2.6,26491,4764
105,2355,527,7944,3445,526,243,16.3,17.4,21.7,18.5,34.8,11.7,8.9,8.5,15.2,12,0,3.7,3,5,0,3.7,0,3.7,21994,4477
106,2989,520,17628,4697,1405,313,5.3,4.9,7,5,28,8.8,33.2,9.8,10.5,7.1,4.6,3.7,3,3.8,1.8,2.5,6.6,4.5,35720,6263
107,1902,337,11807,3194,831,219,8.3,7,10.5,7.9,37.2,17.2,24.7,10.2,7.6,4.6,7.8,6.8,1.2,1.9,1,1.6,1.8,2.8,30813,8769
108,1237,176,14804,3062,576,93,1.4,1.7,12.5,7,25,10.1,14.2,7.1,22.4,8.3,8.2,5.1,7.1,3.7,4.2,3.5,5,5.2,39804,7247
109,5012,558,35142,3953,3254,395,3.4,2.5,1.4,1.2,15.4,5,12,6.7,20.6,6.2,14.5,5.1,5.2,4.1,7.6,3.7,20,4.9,69242,11673
110,3361,405,31144,2169,2191,334,3.4,2.3,2.7,2.1,16.9,5.7,20.6,5.4,20.5,5.8,13.6,5.8,0.1,0.2,8.4,4.3,13.7,4.3,58463,7003
111.01,2896,355,25572,4381,1876,246,2.3,1.9,2.9,1.6,24.1,7.4,20.5,5.6,27,7.3,7.1,3.4,4.7,2.4,3.9,2.5,7.4,3.3,44582,4493
111.02,3624,525,21908,4777,2401,298,3.1,3.1,10,7.3,22.7,5.9,23.6,6.9,23.4,6.4,8,3.9,2.4,1.3,2.9,1.9,4,2.8,36707,4615
112,1018,130,26474,5400,626,107,2.9,2.7,3.8,3.1,20.4,6,25.6,6.9,25.4,7.1,8.8,4.7,1.4,1.7,5,3.1,6.7,5.3,51536,16901
113.01,1696,176,27616,4612,1093,148,4.5,3.9,7.6,4,18.8,5.1,16.4,5.8,18.5,5.4,9.9,3.8,3.5,2.2,6.4,2.8,14.5,6.3,50038,6381
113.02,1764,222,26154,3336,1116,158,1.9,2.2,3.5,2.4,18.8,6.9,23.9,8,24.4,6.6,13.9,6,4.8,2.8,4.2,2.8,4.6,3.1,44680,6074
114,1771,227,22052,3562,1070,137,6.6,3,7,3.3,23.3,5.9,11.9,3.6,23.9,4.8,9.8,4.1,5.8,3.5,5.5,2.9,6.2,2.9,43123,4689
4856,1127,250,30182,6877,702,212,0,2.8,16.2,6.6,12.3,6.5,25.6,8.8,23.5,9.5,9,6.7,1.1,1.7,6.6,7,5.7,4.3,41865,7912
4857,1025,127,27180,3609,780,117,4.5,4.3,6.9,3.9,23.2,6.6,20.6,5.7,25.8,5,7.1,3.8,5.8,3,4.9,3.2,1.3,1.5,37238,4340
4858,2048,158,25916,1698,1335,115,5.8,3.2,6.7,3.4,16,3.9,19.8,4.3,18.1,3.7,16.2,3.7,3,1.1,5.8,2.3,8.7,3,47439,4423
4859,1026,88,30926,5004,674,67,1.2,1,9.2,4.1,14.2,3.9,12.6,3.3,26.1,5.4,15.6,3.6,5.6,2.9,8.5,3,7,2.8,50546,5973
4860,2552,178,30026,4689,1737,179,1.4,0.9,5,2,17.7,4.6,17.4,4.3,21,4.5,16.1,3.9,4.7,2.7,11.7,4.6,5,2.6,45328,3245
4861,2220,239,29764,4791,1432,198,1.7,1.9,6,3.9,10.1,5.5,18.4,6.2,32.5,9.5,13.9,5.8,10.3,7.4,4.3,3.9,2.8,3.5,45264,5414
4862,1651,161,21285,3118,969,146,4.1,4,9.1,4.7,19.5,7.2,29.3,6.7,22,5.5,7.9,4.3,4.1,2.9,2.6,2.3,1.3,1.9,33664,3443
4863,126,52,4773,1555,18,19,0,54.8,0,54.8,50,21,0,54.8,0,54.8,0,54.8,33.3,32.5,16.7,22.1,0,54.8,N,N
4864,1290,179,20069,7075,851,145,11.6,5.5,9.2,6.5,18.2,7.1,25.3,9.3,13.7,6.9,10.2,5.7,1.5,2.4,6,4.1,4.2,2.4,39051,6289
4865,2787,248,28874,3493,1866,247,0.8,1.1,5.5,3.2,15.6,5.6,20.4,5.7,21,6.4,13.9,5.7,4.4,3.8,8,3.5,10.5,4.9,49999,5909
4866,1576,100,37050,3575,1113,96,2,1.3,4.9,2.7,13.6,3,11.2,3.2,21.9,5.5,14.9,3.6,7.5,2.3,13.1,3.9,10.8,3.5,56567,4124
4867,2302,184,28900,3918,1608,150,2.5,1.7,4.6,1.9,18,4.3,21.6,4.2,20.6,4.5,15.4,4,4.7,1.9,6,2.5,6.5,2.8,46281,4301
4868,839,73,25344,2417,529,64,2.1,1.6,7.2,2.6,20.2,4.3,17,3.9,24.2,5.1,18.1,4.2,4.5,2.5,2.8,2,3.8,1.9,40460,2323
886,2414,138,26836,958,1740,126,2.8,1.4,6.6,2.3,17.1,3.8,24.5,3.8,25.1,4.2,10.6,3,3.2,1.3,6.4,2.4,3.7,1.7,39459,2290
887,1095,111,28750,3629,794,89,1.1,1.1,5.8,3,21.7,5.7,20.4,5.1,21.2,4.4,14.1,4.3,3.8,2.5,4.9,3.1,7.1,3.1,42589,3396
888,3715,306,31589,1739,2670,258,2.2,1.7,4.9,2.8,16.4,5.1,17.9,4.8,26.3,5.4,12,3.9,6.7,2.8,5.8,3.1,7.7,3.2,48058,4356
889,2497,222,17743,3803,1363,155,9.6,4.6,7,3.8,18.7,5.4,20,7.5,21.6,5.9,11.7,5,4.6,2.7,1.1,1.2,5.6,3.1,39784,5413
890,2013,153,27337,3224,1333,148,5.4,3.3,5.5,2.5,16.1,4.8,24.8,5.5,16.8,5.5,12.2,4,3.7,2.5,7.7,4.3,8,3.5,44832,3911
891,977,159,18817,2251,613,125,9,5.1,17.1,7.6,30.3,9.1,19.6,8.6,14.7,6.5,7,4.9,0,3.2,2.3,3.8,0,3.2,26432,3568
892,797,129,17730,2707,461,89,0,4.2,15.4,6.2,35.4,11.3,28,8.8,12.6,4.9,7.6,4.5,1.1,2.2,0,4.2,0,4.2,26573,2741
893,2407,183,26300,2720,1671,165,2.3,1.6,8.4,2.7,22.3,5.1,26.5,6.6,19,5.4,7.8,3.6,3.4,1.9,4.8,2.4,5.3,2.9,39934,4427
895.98,2406,203,29914,3262,1596,158,1.6,1.5,4.3,2.3,14.3,3.3,24.6,4.5,26.5,4.6,10.2,2.8,8,3.4,6.5,2.6,4.1,2.2,43683,2613
896,893,86,31315,2040,716,83,2.5,1.7,4.6,1.7,20.5,5.7,21.9,4.4,24.7,4,9.8,3.2,5.2,2,5.9,2.7,4.9,2.2,47879,8049
5002,1084,128,18197,2520,643,110,2.6,2.3,10.6,6.3,35.8,7.4,24.1,8.2,14.8,6.1,4,3.3,0.8,1.3,3.4,3.1,3.9,4.4,33458,6740
5003.01,1663,167,27127,5382,1176,162,2.4,2.4,6.4,3.3,23.8,6.3,20.5,6.1,24.8,7.1,10.2,4.4,5.7,3.5,3.7,2.3,2.5,2.2,38582,3518
5003.02,1246,139,17273,2766,779,121,3.7,3.2,21.1,11,32.2,9.2,18.5,6.7,15.8,5.3,6.4,3.3,1.3,1.6,0,2.5,1,1.6,26614,3015
5004,1649,191,21206,1774,1047,162,1.8,2,12.8,5.8,24.7,6.1,24.3,6.6,18.1,5.2,9.7,3.9,3.7,2.8,1.8,2.1,3,2.5,36927,6000
5005,2432,217,11714,2073,1090,127,10,4.3,5.4,2.7,26.3,4.6,21.6,4.7,16.2,3.8,11.7,3,2.7,1.7,3,2,3.1,1.8,35232,3043
5006,2051,259,23408,2879,1345,161,3.7,2.8,11.5,5.3,22.4,4.9,21.3,5.6,14.7,5.1,11,4.1,7.1,3.5,2.6,2.1,5.6,3.1,40771,5263
5007,1725,177,26560,2655,992,100,0,2,5.4,3.1,10.9,4,28.2,5.8,20.6,5,18.9,5.8,8.1,4.8,5.2,3.7,2.7,2.4,46512,6276
5008,1888,176,38095,4564,1323,137,0,1.5,2.3,2.5,11.7,3.6,14.8,4.8,21.5,5.1,20,5.4,5.7,3.3,9.2,3.4,14.7,4.4,65380,7853
5009,3223,185,32964,4216,2397,180,1.2,0.6,5.3,2.5,15.5,3.3,16.3,4,20.4,4.4,16.9,4,5.5,2,9.3,3.4,9.5,2.9,54861,3889
5010.01,3558,405,27267,2552,2398,315,3.8,2.3,4,1.9,18.2,3.7,20.1,4.3,18.8,4.1,14.1,4,6.2,2.3,9.1,2.9,5.7,3,45721,3443
5010.03,2001,148,38781,4020,1508,136,1.7,1.6,3.6,1.9,9.9,3.4,16.8,4.4,23.1,5.8,23.3,4.7,5.6,2.7,11.9,3.5,4,2.4,48849,3002
5010.04,2257,148,22588,2805,1331,120,4.9,3.4,5.6,3.6,19,4.3,15.9,4.3,18.4,4.3,13.1,3.3,4.1,2.4,9.3,3.4,9.8,3.5,51845,5368
5011.01,2489,264,30717,3915,1794,213,4.1,3.4,5.6,2.7,16.6,5.7,19.2,4.8,16,3.9,13.5,4.6,5.7,3.1,8.5,4.7,10.9,5.1,50154,5812
5011.02,3827,282,26982,3126,2611,231,2.6,1.9,8.3,3.2,18.5,4.4,19.3,4.4,19.2,4.3,15.4,4.1,4.8,2.2,7.2,2.6,4.7,2.4,42369,3339
5012.01,775,120,29922,5167,524,84,2.9,2.5,8.2,3.3,16.4,5.7,9.5,4.6,35.9,9.2,14.7,5.8,4.6,3.1,6.1,2.7,1.7,1.6,40955,3119
5013,1249,132,27250,2492,846,104,1.7,1.1,8.3,3.7,16.8,3.9,23.8,4.1,23.9,4.1,14.7,3.5,2.6,1.6,6,2.9,2.4,1.6,39530,2968
976,1173,90,23513,1987,680,68,2.6,1.8,9.1,2.6,22.2,3.5,22.8,4.1,19.7,3.4,11.8,2.6,1.8,1,7.1,2.5,2.9,1.5,38382,2723
977,2444,196,24184,3739,1522,179,2.8,1.9,5.7,2.4,24.1,4.3,25.4,5.6,15.6,4.1,7.2,3.6,4,1.9,4.7,2.2,10.7,4.7,51431,8866
978,1106,115,26037,4194,634,84,1.1,1.6,6.6,3.5,19.7,5.7,15,4.6,26,5.8,19.2,5.6,5.5,3,4.7,2.7,2.1,2.2,41150,3387
9600,1857,78,30802,1507,1307,84,3.7,2.2,5.4,2.8,15.7,4.1,16.9,3.7,20.1,4.4,13.5,3.2,6.4,2.6,8.4,2.4,9.8,2.8,50458,3325
501.01,2626,174,26449,1957,1731,145,2.8,1.9,4.6,2.6,18.8,5.3,25.4,5.9,29.4,5.7,8,3.8,4,2.2,3.3,2,3.6,2.1,39060,3259
501.03,1160,108,32766,2963,840,86,1.8,1.6,3.6,2.6,12.4,4.3,21.7,5.1,34.6,6.7,12.6,4.7,6.5,3.6,4.4,2.4,2.4,2.2,42695,2749
501.04,902,108,21737,2961,526,78,1.3,1.9,5.3,3.9,29.1,8.8,21.5,6.6,25.9,7.1,9.7,4.9,2.9,2.6,3.4,3,1,1.4,34955,3329
501.05,2266,177,32841,4675,1516,162,2.4,2.4,3,2.1,15.5,4.6,11.8,3,23.1,4.7,12.2,3.7,9.5,4,13.6,4.5,8.9,3.6,59402,7940
502.01,1116,124,37763,5570,788,92,0,2.5,2,1.8,10.2,4.2,14.1,4.9,29.3,5.9,16.9,5,7.1,3.8,13.7,4.5,6.7,4.4,54482,5049
502.02,1486,142,26146,6745,1068,118,4.7,3.4,4.2,3,26.3,6,17.9,5.9,29.6,7.8,7.3,3.5,3.3,2.7,6.2,3.7,0.6,0.8,35562,2544
502.03,893,88,26544,5190,566,74,3.5,2.7,5.7,2.9,20.8,6.5,16.3,5,23.1,6.9,14.5,5,5.5,3,6.4,3.2,4.2,3,42988,4559
503.01,1123,105,26480,3573,747,97,2.4,2.5,6.4,3.8,20.6,6.9,14.9,4.7,27.8,5.2,14.1,4.5,2.1,1.8,8.4,4.1,3.2,2.4,42734,4632
503.02,1147,113,29281,4247,852,108,1.6,1.9,4.8,3.1,19.1,6,16,5.1,29.1,7.3,12,4.5,11,5.9,3.4,2.1,2.9,2.3,41278,2962
503.03,1359,131,36199,3969,906,103,2.3,2.5,5.2,4,12.8,5.5,12.1,5,21.7,7.4,20.1,6.9,7.5,4.6,10.7,6.2,7.5,4.4,50812,4731
503.04,1792,160,34310,3678,1308,131,0.8,1.3,4.6,2.6,14.4,4.4,16.9,4.9,21.1,4.9,9.2,3.8,6.3,3,13.7,4.7,13.1,3.9,66934,11514
504.03,2910,216,37138,6607,2021,186,0.5,0.8,3.4,2,11.8,3.4,14.7,4.3,16.8,4.2,14.9,4.2,8.9,2.6,14.7,3.6,14.3,3.7,63543,5542
504.04,3386,316,41250,5473,2411,274,0.8,1.1,2.5,2,11.2,4.9,11.8,3.7,19,5.7,20.9,6,9.2,3.9,10.2,4.2,14.4,4.5,67183,11477
504.05,1946,166,47016,4267,1377,141,0.8,1.2,4.8,2.7,4.7,2.8,8.9,3.7,19.8,4.2,12.3,4.4,5.9,3,15.4,4.7,27.4,5.6,104158,25851
504.06,1346,108,50750,4124,902,77,0,2.2,1.1,1.1,3.7,2.2,7.4,3.7,13.6,4.5,20.5,5.2,9.9,4,19.7,5,24.1,5.7,75747,4520
504.07,1254,126,30714,2911,893,104,1.9,2.4,4.4,2.4,20.4,4.8,15.6,4.9,25.2,5.6,14.8,4.5,6,3.2,7.6,3.5,4.1,2.7,43601,3449
504.08,1693,125,27237,3182,1191,109,3.8,2.9,4,3,13.4,5.5,20.8,6.7,21.7,6.5,15.6,5.2,5.7,3.3,8.7,4,6.1,3.4,47892,5045
504.09,1059,131,27361,5877,638,71,1.1,1.9,4.1,2.5,19.1,6.3,14.9,5.2,19.1,7,20.4,5.9,2.4,2.3,11.3,4.3,7.7,3.5,53034,6805
505.01,1798,157,35389,5163,1313,126,0.7,1.1,6,3.2,10.8,3.9,15.8,4.8,22.6,5.9,19.5,4.8,10,3.8,10.8,3.3,3.7,1.9,49203,2642
505.02,1669,141,30093,2687,1119,97,1.9,1.6,5.5,2.2,14.9,3.9,17.3,3.6,25.6,4.5,15.9,3.9,6.6,2.9,7.1,2.9,5.2,3,47242,4127
506.01,1884,182,32863,3948,1278,139,5.2,4.2,0.7,1,8.3,4.5,18.5,5.8,22.1,5.7,21.8,5.4,5.5,3.6,9.8,3.8,8.1,3,56726,6951
506.02,1892,150,36675,3217,1330,131,1.8,2,2.3,1.7,6.2,2.9,17.5,5.9,24.4,5.5,14.7,5.3,13.3,4,14.1,4.7,5.6,2.9,54703,4240
506.03,1385,91,42177,3979,1041,103,1.5,1.4,2.7,2.1,11,3.4,11.2,4.4,22.2,5.4,18,5.2,16,5,9,3.5,8.3,3.8,58045,6902
506.04,2009,184,35699,5413,1377,161,0,1.4,6.2,3.5,12,5,16.3,5.7,19.2,5.3,21.1,5.4,8.6,3.7,4.4,2.5,12.2,4.8,54227,5404
507.01,1000,89,23857,3778,653,70,2.1,1.6,7.2,2.5,22.1,5.1,21.4,4.8,29.1,6.3,9.8,3.1,3.8,2.1,2.9,1.6,1.5,1.5,41570,9292
507.02,1478,144,26145,3323,918,129,2.9,2.7,6.9,3.6,9.8,4.1,21.4,7.8,19.7,5.7,18,6.8,7.1,5,9.4,4.4,4.9,3.5,45752,3750
508.01,2216,137,37279,4506,1617,130,0,1.2,2.2,1.5,13.5,3.6,14.1,3.5,19.3,4,20.8,4.4,6.7,2.6,15.2,4.5,8.1,3.7,56127,4758
508.02,1484,133,37733,3715,1124,114,1.4,1.6,4.2,2.8,11,4.1,17.8,5.1,24.3,6.3,16.3,4.5,7.1,3.5,6.6,4.3,11.3,4.8,50308,4569
5831,676,61,27136,1858,473,52,2.1,1.4,4,2.5,18.8,3.8,25.8,5,19,5.2,10.4,3.2,4.4,2.1,9.5,3.7,5.9,2.2,46169,3918
5832,1689,132,25019,2220,1111,133,2.7,1.6,4.1,1.9,22.6,3.8,19.6,3.6,21.4,4,13.4,4,3.8,2.5,8.3,2.6,4.1,1.8,46498,5189
5833,1279,161,22443,6208,846,146,4.7,3.8,7.3,4,23.8,7.4,26,6.5,13.8,4.9,16.1,5.5,2.2,1.8,2.6,2.1,3.4,2.4,39287,5821
5834,1840,168,26105,1932,1242,134,2.5,2,6.7,3,19.5,6,25,5.3,20.6,5.1,11.8,4,2.9,2,5.1,3.3,6,2.9,48493,9865
5835,726,92,19605,1923,435,69,2.5,2.5,8.3,4.7,35.2,8.7,23.4,7.1,16.6,6.8,7.4,3.7,3,3.2,1.1,1.6,2.5,2.8,31966,3880
5836,1533,142,20101,1850,954,124,2.5,2.1,11.4,4.7,31.8,6.9,20.8,5.5,15.6,4,8.2,4.1,0.9,0.8,3.8,2.1,5,2.7,36483,4369
5837,851,92,28565,3223,609,70,1.3,1.4,6.2,2.6,18.1,5.2,27.6,5.1,18.6,4,16.9,3.7,4.4,2.1,5.1,2.3,1.8,1.6,39682,2473
5838,1199,135,25497,2348,816,136,2.5,1.6,7.7,3.8,24.3,11.5,15.3,5,26.5,6.4,10.4,4.4,2.7,2.3,7.6,4,3.1,3,39369,4173
5839,773,74,26484,2260,537,55,1.7,2.1,6.3,2.9,19.2,4.3,19.7,5,23.3,4.2,12.3,4.3,7.6,3.1,4.8,2.1,5,2.5,45649,4315
